caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
12793,35 to 39,35 to 44,Female,Married,... every day?,... good?,... good?,"$20,000 to $29,999","$60,000 to $79,999"
12794,80 years and over,75 years and over,Male,Widowed,... every day?,... good?,... poor?,"$30,000 to $39,999","$30,000 to $39,999"
12795,18 to 19,15 to 24,Male,Single (Never married),Don't know,... excellent?,... good?,"$20,000 to $29,999",Don't know
12796,60 to 64,55 to 64,Male,Married,... every day?,... good?,... excellent?,"$50,000 to $59,999","$100,000 to $149,999"
12797,35 to 39,35 to 44,Female,Divorced,... about once a month?,... good?,... good?,"$10,000 to $14,999","$10,000 to $14,999"
12798,18 to 19,15 to 24,Male,Single (Never married),... about once a week?,... excellent?,... excellent?,"$5,000 to $9,999","$80,000 to $99,999"
12799,40 to 44,35 to 44,Male,Married,... every day?,... very good?,... very good?,"$30,000 to $39,999","$40,000 to $49,999"
12800,25 to 29,25 to 34,Female,Married,... about once a month?,... very good?,... very good?,No income,"$30,000 to $39,999"
12801,18 to 19,15 to 24,Male,Single (Never married),... about once a week?,... very good?,... good?,No income,Don't know
12802,60 to 64,55 to 64,Female,Married,... a few times a week?,... very good?,... fair?,"$40,000 to $49,999","$100,000 to $149,999"
12803,20 to 24,15 to 24,Male,Single (Never married),... every day?,... good?,... very good?,"Less than $5,000","$60,000 to $79,999"
12804,50 to 54,45 to 54,Female,Living common-law,... a few times a week?,... good?,... good?,"$50,000 to $59,999","$100,000 to $149,999"
12805,50 to 54,45 to 54,Male,Single (Never married),... a few times a week?,... very good?,... very good?,"$80,000 to $99,999","$80,000 to $99,999"
12806,60 to 64,55 to 64,Female,Married,... a few times a week?,... very good?,... good?,"$50,000 to $59,999","$80,000 to $99,999"
12807,80 years and over,75 years and over,Female,Widowed,... about once a month?,... very good?,... very good?,Not stated,Not stated
12808,40 to 44,35 to 44,Female,Married,... a few times a week?,... very good?,... very good?,No income,Not stated
12809,80 years and over,75 years and over,Female,Widowed,... never,... very good?,... excellent?,"$30,000 to $39,999","$30,000 to $39,999"
12810,75 to 79,75 years and over,Male,Married,... a few times a week?,... fair?,... good?,Not stated,Not stated
12811,80 years and over,75 years and over,Female,Widowed,... about once a week?,... good?,... excellent?,"$15,000 to $19,999","$15,000 to $19,999"
12812,80 years and over,75 years and over,Female,Single (Never married),Don't know,... good?,... excellent?,Not stated,Not stated
12813,80 years and over,75 years and over,Female,Widowed,... never,... good?,... good?,Not stated,Not stated
12814,50 to 54,45 to 54,Female,Married,... a few times a week?,... good?,... very good?,"$80,000 to $99,999","$150,000 or more"
12815,65 to 69,65 to 74,Female,Widowed,... less than once a month?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
12816,60 to 64,55 to 64,Female,Living common-law,... every day?,... good?,... fair?,"$40,000 to $49,999","$80,000 to $99,999"
12817,35 to 39,35 to 44,Male,Single (Never married),... a few times a week?,... good?,... good?,"$5,000 to $9,999","$5,000 to $9,999"
12818,25 to 29,25 to 34,Male,Married,... a few times a week?,... excellent?,... excellent?,"$30,000 to $39,999","$100,000 to $149,999"
12819,30 to 34,25 to 34,Female,Married,... a few times a week?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
12820,45 to 49,45 to 54,Female,Divorced,... a few times a week?,... good?,... excellent?,"$80,000 to $99,999","$100,000 to $149,999"
12821,60 to 64,55 to 64,Female,Living common-law,... every day?,... excellent?,... very good?,"$40,000 to $49,999",Don't know
12822,40 to 44,35 to 44,Female,Separated,... every day?,... excellent?,... good?,Don't know,Don't know
12823,55 to 59,55 to 64,Male,Married,... every day?,... good?,... fair?,"$80,000 to $99,999","$100,000 to $149,999"
12824,35 to 39,35 to 44,Male,Married,... every day?,... very good?,... very good?,"$50,000 to $59,999","$80,000 to $99,999"
12825,50 to 54,45 to 54,Male,Divorced,... every day?,... very good?,... very good?,"$50,000 to $59,999",Don't know
12826,40 to 44,35 to 44,Female,Single (Never married),... a few times a week?,... very good?,... excellent?,"$60,000 to $79,999","$60,000 to $79,999"
12827,35 to 39,35 to 44,Male,Single (Never married),... about once a month?,... excellent?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
12828,35 to 39,35 to 44,Female,Married,... every day?,... good?,... good?,"$20,000 to $29,999","$30,000 to $39,999"
12829,50 to 54,45 to 54,Male,Married,... less than once a month?,... very good?,... very good?,"$100,000 or more","$100,000 to $149,999"
12830,50 to 54,45 to 54,Male,Divorced,... a few times a week?,... very good?,... excellent?,Don't know,Don't know
12831,75 to 79,75 years and over,Female,Widowed,... less than once a month?,... very good?,... good?,"$5,000 to $9,999","$5,000 to $9,999"
12832,55 to 59,55 to 64,Male,Married,... a few times a week?,... excellent?,... very good?,"$100,000 or more","$150,000 or more"
12833,30 to 34,25 to 34,Male,Married,... every day?,... good?,... good?,"$60,000 to $79,999","$150,000 or more"
12834,18 to 19,15 to 24,Female,Single (Never married),... about once a month?,... very good?,... excellent?,"$5,000 to $9,999",Don't know
12835,70 to 74,65 to 74,Male,Married,... less than once a month?,... excellent?,... excellent?,"$30,000 to $39,999","$60,000 to $79,999"
12836,45 to 49,45 to 54,Female,Married,... about once a week?,... fair?,... good?,"$10,000 to $14,999","$40,000 to $49,999"
12837,35 to 39,35 to 44,Female,Married,... every day?,... very good?,... good?,Not stated,"$80,000 to $99,999"
12838,60 to 64,55 to 64,Male,Married,... never,... fair?,... good?,"$10,000 to $14,999",Not stated
12839,65 to 69,65 to 74,Female,Divorced,... a few times a week?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
12840,65 to 69,65 to 74,Female,Divorced,... a few times a week?,... good?,... good?,Not stated,Not stated
12841,45 to 49,45 to 54,Female,Married,... every day?,... very good?,... excellent?,"$60,000 to $79,999","$100,000 to $149,999"
12842,35 to 39,35 to 44,Male,Married,... every day?,... very good?,... fair?,"$60,000 to $79,999","$60,000 to $79,999"
12843,60 to 64,55 to 64,Female,Widowed,... every day?,... poor?,... fair?,"$10,000 to $14,999","$10,000 to $14,999"
12844,35 to 39,35 to 44,Male,Married,... every day?,... good?,... very good?,"$20,000 to $29,999","$60,000 to $79,999"
12845,50 to 54,45 to 54,Female,Divorced,... every day?,... very good?,... good?,"$60,000 to $79,999","$60,000 to $79,999"
12846,40 to 44,35 to 44,Female,Married,... every day?,... poor?,... poor?,Don't know,Don't know
12847,75 to 79,75 years and over,Female,Widowed,Don't know,... good?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
12848,45 to 49,45 to 54,Female,Living common-law,... about once a week?,... very good?,... very good?,"$60,000 to $79,999","$100,000 to $149,999"
12849,45 to 49,45 to 54,Female,Living common-law,... every day?,... excellent?,... excellent?,"$100,000 or more","$150,000 or more"
